id;kode_produk;review;aspect_term_sentiment
665c7e0a528efa52655054b3;101646;akhirnya lengkap mulai lengkap variant ini.. jujurly suncreen ini lebih enak dan lebih cepat menyerap dibandingan yang stik sama sama bagus tapi yang tupe ini lebih bagus dan pastinya wajah itu menjadi glowing;"""[{'term': 'tekstur', 'polarity': 'positive'}]"""
6619efc643e0623f85cb6ae7;98204;kalo untuk sunscreen spray i only trust skintific karena ingredientsnya trusted dan suka saja sama sunscreen spray gampang di applynya dan mengurangi resiko jerawatnya;"""[{'term': 'lainnya', 'polarity': 'positive'}]"""
66644ab34658891e039ee5f2;101646;sunscreen terbagus a!! ngl ini benaran se lightweight itu, gampang di blend, ada tone up tapi enggak yang banget begitu, bikin cerah terus buat muka glowing tapi yang enggak minyakan!;"""[{'term': 'tekstur', 'polarity': 'positive'}, {'term': 'efek minyak', 'polarity': 'positive'}]"""
676ee9bc3a193c2c6ef45f3a;101646;produk krim perawatan wajah ini memberikan pengalaman yang menyegarkan dan melembapkan kulit dengan sangat baik. teksturnya ringan dan mudah meresap tanpa meninggalkan rasa lengket, sehingga cocok digunakan sehari-hari, bahkan di bawah makeup. setelah pemakaian rutin, kulit terasa lebih halus, lembut, dan tampak lebih cerah. krim ini juga dilengkapi dengan bahan-bahan alami yang memberikan perlindungan ekstra terhadap polusi dan paparan sinar matahari.;"""[{'term': 'tekstur', 'polarity': 'positive'}]"""
67528577576d796c08b4080e;98204;cepat habis padahal sudah beli yang gede, tapi karena aku pakainya tiap hari jadinya wajar ya cepat habis, untuk wanginya aku kurang suka tapi enggak terlalu mengganggu kok;"""[{'term': 'aroma', 'polarity': 'neutral'}]"""
65edad8c017e1269794cde86;98204;benar benar bagus banget buat reapply sunscreen biar enggak ribet dan enggak harus ulang dari awal, super enakeun juga dan enggak ngerusak makeup pokoknya rekomen banget buat yang suka aktivitas outdoor;"""[{'term': 'lainnya', 'polarity': 'positive'}]"""
673088adbadedf314da30ebe;80032;aku sudah cukup lama pakai sunscreen ini, bisa dibilang carasun salahsatu sunscreen yang acne friendly. teksturnya creamy, awal-awal dipakai aku merasa sedikit berminyak tapi enggak menganggu dan cukup mudah meresap;"""[{'term': 'tekstur', 'polarity': 'positive'}, {'term': 'efek minyak', 'polarity': 'neutral'}]"""
66671f408d5daef72a50e2bc;19048;good sunscreen ! bagus banget dan no white cast. cocok untuk kulit yang sensitif dan aman untuk kulit yang acne prone. kulitku berminyak tapi ini oke banget di kulitku. love itu!;"""[{'term': 'whitecast', 'polarity': 'positive'}]"""
6719b379fc854be2a15b2120;80032;produk yang enak dan saya pakai setiap hari dengan sunscreen yang bisa menjaga kulit saya dari paparan matahari yang bahannya tuh sangat amat dapat meresap ke kulit saya jangan lupa langsung saja diorder;"""[{'term': 'tekstur', 'polarity': 'positive'}]"""
6751a992d4d9042b12f3cada;82166;"bagus, sudah repurchase produk ini berkali kali. enggak bikin berminyak, nyaman, bagus juga dijadikan base make up. wanginya enggak menganggu, cuman memang harus rajin reaply sih karena aku tetap ""agak gosong"" pakai ini";"""[{'term': 'efek minyak', 'polarity': 'positive'}, {'term': 'aroma', 'polarity': 'positive'}]"""
66bf503b693b190a9650b3c1;80032;sudah kedua kali nya beli sunscreen ini, cocok banget buat kulit normal tapi dry. enak di pakai nya, terus juga enggak bikin jerawat dan enggak ada white cast nya sama sekali;"""[{'term': 'whitecast', 'polarity': 'positive'}]"""
6695de37687f729166f30a60;82166;sudah pakai azarine ini sekitar 2 tahunan, cocok banget di kulit aku yang berminyak. enggak bikin kusam sama enggak meninggalkan whitecast sama sekali, aku selalu repurchase produk ini. love banget!;"""[{'term': 'efek minyak', 'polarity': 'positive'}, {'term': 'whitecast', 'polarity': 'positive'}]"""
66dc5f3de66d342a8d9ab34e;80032;texturenya lucu bukan cream bukan gel kayak cloud begitu dan agak thick jadi agak lebih susah di blend daripada cream/gel. sayangnya dia lama lama peel begitu di mukaku.;"""[{'term': 'tekstur', 'polarity': 'negative'}]"""
65eded0040841a70805fa56d;19048;suka banget sunscreen ini! ada efek toneup, di muka enggak berat. tapi di cuma cocok kalo dibawah makeup tipis. kalo makeup rada tebal siap siap saja makeupnya longsor;"""[{'term': 'tekstur', 'polarity': 'positive'}]"""
